group_feature,lower,upper,rows_clipped,low_q,high_q
bipolar:blink_duration__range,0.0,0.2500003931500016,150,0.005,0.995
bipolar:blink_duration__slope,-0.018053536022889533,0.05302261491938976,600,0.01,0.99
bipolar:blink_cluster_density__mean,0.0038054652491219315,0.49444444435240814,300,0.005,0.995
bipolar:blink_cluster_density__std,0.0,0.03929733037893834,150,0.005,0.995
bipolar:blink_cluster_density__min,0.0,0.47056477982891076,150,0.005,0.995
bipolar:blink_cluster_density__max,0.01666667,0.5,79,0.005,0.995
bipolar:blink_cluster_density__range,0.0,0.15,101,0.005,0.995
bipolar:blink_cluster_density__slope,-0.01808876357734036,0.023843531086657294,600,0.01,0.99
bipolar:eye_contact_ratio__mean,0.8251085279423095,0.9074312439329736,300,0.005,0.995
bipolar:eye_contact_ratio__std,0.0011348236908734631,0.023931964789354946,300,0.005,0.995
