,count,mean,std,min,1%,5%,50%,95%,99%,max,missing_count,missing_ratio,zero_ratio,n_unique,iqr
mean_head_velocity__min,180000.0,0.04899021931632737,0.05019441103717033,0.0,0.0,0.0,0.0392369470458053,0.14901232853059262,0.20126002539860133,0.27319,0,0.0,0.3172888888888889,33394,
mean_head_velocity__range,180000.0,0.15105948671150707,0.17779754512496482,0.0,0.0,0.00486021485358313,0.0644623344719737,0.5365291481395192,0.557107282533857,0.557107282533857,0,0.0,0.02585,66640,
mean_head_velocity__slope,180000.0,2.469267322991797e-05,0.004016831084293442,-0.0349086100869891,-0.013772973285689398,-0.00651942163039477,3.800505469808925e-07,0.006312352936035337,0.01183092668343763,0.0400141850295881,0,0.0,0.0,177941,
mean_head_velocity__std,180000.0,0.03229141472425214,0.03582143859018668,9.07696686668464e-05,0.000819133655284596,0.0017391078972897051,0.0168108036052292,0.10693745073760474,0.1149772424936567,0.1269592758823219,0,0.0,0.0,177933,
micro_motion_energy__max,180000.0,89.00349927361634,98.62728961567173,0.0039324470529972,0.02872604,0.10472939,84.86185662317429,273.81254472,567.75050388,645.603596,0,0.0,0.0,13609,
micro_motion_energy__mean,180000.0,9.960166397833683,7.804795519771392,0.0014862367079061,0.007146550756835808,0.02164595188535614,13.400176995193437,19.170952746826533,23.223166115177147,71.5107019800268,0,0.0,0.0,177261,
micro_motion_energy__min,180000.0,0.003740440398139972,0.009639597138980233,0.0,0.0,0.0,4.329e-05,0.01695271,0.04392387,0.27396623,0,0.0,0.5,13272,
micro_motion_energy__range,180000.0,88.99975883321822,98.62782869787164,0.0,0.023795018226040462,0.09675154200000001,84.86185662317429,273.80870478,567.7401690558,645.60350942,0,0.0,0.0007444444444444445,57094,
micro_motion_energy__slope,180000.0,0.04442135187947399,5.598866059507945,-148.85027005183142,-13.989130813151911,-2.4568054918977604,0.0001140423950985,2.936188013939418,14.365593098196966,229.04597931554585,0,0.0,0.0,178041,
micro_motion_energy__std,180000.0,18.990148666642984,19.28856721708237,0.0007877000681846,0.006078628062074955,0.022029088817954554,19.18538226139372,54.18794369634122,98.80515875627478,201.246384566971,0,0.0,0.0,177312,
motion_energy_floor_score__max,180000.0,0.9204943219526632,0.126317049902316,0.2497514697759524,0.48933333,0.62,0.99333333,1.0,1.0,1.0,0,0.0,0.0,11993,
motion_energy_floor_score__mean,180000.0,0.7767556457300001,0.14908759385049702,0.1644290724136345,0.4230102789910603,0.5561709401861353,0.7706049881575574,0.9833014760767189,0.9961390741188135,1.0,0,0.0,0.0,175787,
motion_energy_floor_score__min,180000.0,0.5841151316328592,0.2922549825546866,0.094765816842812,0.094765816842812,0.1425683507473354,0.7199350420404576,0.97333333,0.99333333,1.0,0,0.0,0.0,13343,
motion_energy_floor_score__range,180000.0,0.33637919031980396,0.32574910135633844,0.0,0.0,0.0053333399999999,0.20066667,0.8574316492526646,0.905234183157188,0.905234183157188,0,0.0,0.03566111111111111,23309,
